S/N,Subject Description,Topic ,Text
1.      ,OPERATING SYSTEM,Meaning of Operating systems,"An operating system (commonly abbreviated OS or O/S) is the software component of a computer system that is responsible for the management and coordination of activities and the sharing of the resources of the computer. The operating system acts as a host for applications that are run on the machine. As a host, one of the purposes of an operating system is to handle the details of the operation of the hardware. This relieves application programs from having to manage these details and this makes it easier to write applications. Almost all computers, including handheld computers, desktop computers, supercomputers, and even video game consoles, use an operating system of some type. Some of the oldest models may however use an embedded operating system that may be contained on a compact disk or other data storage device."
,,,"Operating systems offer a number of services to application programs and users. Applications access these services through application programming interfaces (APIs) or system calls. By invoking these interfaces, the application can request a service from the operating system, pass parameters, and receive the results of the operation. Users may also interact with the operating system with some kind of software user interface (UI) like typing commands using command line interface (CLI) or using a graphical user interface (GUI, commonly pronounced “gooey”). For hand-held and desktop computers, the user interface is generally considered part of the operating system. On large multi-user systems like Unix and Unix-like systems, the user interface is generally implemented as an application program that runs outside the operating system. (Whether the user interface should be included as part of the operating system is a point of contention)."
,,,"Common contemporary operating systems include Microsoft Windows, Mac OS, Linux and Solaris. Microsoft Windows has a significant majority of the market share in the desktop and notebook computer markets, while servers generally run on Linux or other Unix-like systems. Embedded device markets are split amongst several operating systems."
2.      ,,Modern computer,"Modern Computer consists of one or more processors, some main memory, disks, printers, a keyboard, a mouse, a display, network interfaces, and various other input/output devices."
3.      ,,Deadlock,"Deadlock is a paralyzing process state resulting from improper CPU scheduling, process management, and synchronization management. During this time, processes are blocked as they compete for system resources or only communicate with each other. Although it cannot be guaranteed that deadlock may be avoided 100% of the time, it is important to know how to avoid the deadlocked state and how to recover from it once it has been achieved. We will build upon the previous two units of CPU Scheduling and Processes and Threads when discussing Deadlock. First, we will discuss what deadlock is by establishing a working definition and the conditions in which it presents itself. Then, we will talk about how to prevent and avoid deadlock. Finally, we will learn about deadlock detection, as well as methods for recovering from a deadlocked state."
,,,
4.      ,,Types of Operating Systems,"Operating systems are classified based on the number of users into single user, multi-user and network operating systems. "
,,,"a.     Single-user operating systems: Single-user operating systems are designed to run on stand-alone microcomputers or PCs. Their primary function is to manage the resources of that PC and control its activities in its entirety. Examples are: MS-DOS, PC -DOS, CP/M, Windows 3.1 etc. "
,,,"b.     Multi-User Operating System: The multi-user operating systems were prevalent during the era of centralized processing of jobs on a host (CPU) to which other terminals (Dummy terminals) are connected. These operating systems run on minicomputer systems. Examples are: PC-MOS, and UNIX. "
,,,c.     Network Operating System: Network operating systems are primarily concerned with communication among the various systems and peripherals on the network; as well as the flow of data across the network and sharing of resources on the network.
5.      ,,System calls,"System calls provide an interface between a running program (process) and the operating system. System calls allow user-level processes to request some services from the operating system which the process itself is not allowed to do. In handling the trap, the operating system will enter in the kernel mode, where it has access to privileged instructions, and can perform the desired service on behalf of user-level process. It is because of the critical nature of operations that the operating system itself does them every time they are needed. For example, for I/O, a process involves a system call telling the operating system to read from, or to write to a particular area and this request is satisfied by the operating system."
,,,"A system call is a request made by any program to the kernel for performing tasks, picked from a predefined set, which the said program does not have the required permissions to execute in its own flow of execution. System calls provide the interface between a process and the kernel. These calls are generally available as assembly language instructions and they are usually listed in the various manuals used by the assembly-language programmers. Most operations interacting with the system require permissions not available to a user level process, i.e. any I/O operation performed with any arbitrary device present on the system or any form of communication with other processes requires the use of system calls."
6.      ,,Types of system calls and their purposes,"·       Process control: This type of system calls are used to control processes. Some examples are: end, abort, load, execute, create process, terminate process; get process attributes, set process attributes, wait for time, wait event, signal event, allocate and free memory. "
,,,"·       File management: This type of system calls are used to manage files. Some examples are: create file(s), delete file(s), open, close, read, write, reposition, get file attributes, set file attributes. "
